date,Max. company power demand,Average company power demand,Min. company power demand
2022-10-10 22:30:00,2.9080000000000004,2.614666666666667,2.3
2022-10-10 22:45:00,2.836,2.584,2.268
2022-10-10 23:00:00,2.7720000000000002,2.546666666666667,2.2319999999999998
2022-10-10 23:15:00,2.7199999999999998,2.502666666666667,2.188
2022-10-10 23:30:00,2.6759999999999997,2.4506666666666668,2.136
2022-10-10 23:45:00,2.648,2.3960000000000004,2.08
2022-10-11 00:00:00,2.636,2.3386666666666667,2.024
2022-10-11 00:15:00,2.636,2.2693333333333334,1.968
2022-10-11 00:30:00,2.64,2.2386666666666666,1.924
2022-10-11 00:45:00,2.648,2.2066666666666666,1.892
2022-10-11 01:00:00,2.648,2.192,1.8800000000000001
2022-10-11 01:15:00,2.648,2.1906666666666665,1.8800000000000001
2022-10-11 01:30:00,2.648,2.1973333333333334,1.884
2022-10-11 01:45:00,2.648,2.2066666666666666,1.892
2022-10-11 02:00:00,2.6519999999999997,2.2119999999999997,1.892
2022-10-11 02:15:00,2.6599999999999997,2.2159999999999997,1.8880000000000001
2022-10-11 02:30:00,2.6599999999999997,2.2146666666666666,1.8880000000000001
2022-10-11 02:45:00,2.648,2.2066666666666666,1.892
2022-10-11 03:00:00,2.624,2.196,1.9040000000000001
2022-10-11 03:15:00,2.58,2.1773333333333333,1.9120000000000001
2022-10-11 03:30:00,2.528,2.1613333333333333,1.9120000000000001
2022-10-11 03:45:00,2.46,2.144,1.892
2022-10-11 04:00:00,2.388,2.132,1.8519999999999999
2022-10-11 04:15:00,2.36,2.1439999999999997,1.8319999999999999
2022-10-11 04:30:00,2.428,2.204,1.892
2022-10-11 04:45:00,2.648,2.3320000000000003,2.08
2022-10-11 05:00:00,2.696,2.4226666666666667,2.16
2022-10-11 05:15:00,2.7439999999999998,2.510666666666667,2.068
2022-10-11 05:30:00,2.804,2.5719999999999996,2.1239999999999997
2022-10-11 05:45:00,2.836,2.5853333333333333,2.46
2022-10-11 06:00:00,3.1919999999999997,3.0453333333333332,2.792
2022-10-11 06:15:00,4.3839999999999995,3.5,2.864
2022-10-11 06:30:00,6.0760000000000005,4.226666666666667,3.08
2022-10-11 06:45:00,8.32,5.042666666666666,3.216
2022-10-11 07:00:00,11.128,9.186666666666667,7.4079999999999995
2022-10-11 07:15:00,16.468,14.665333333333335,13.156
